temperature,mode,sweetness,hardness,preview_ok,detail
-12,optimal,1,0,NO_PREVIEW,"already_clean"
-12,optimal,1,1,OK,"pod=21.07,npac=48.00,reached=2/2,viol=0,zero=0,total=1000"
-12,optimal,1,2,OK,"pod=19.86,npac=45.89,reached=1/2,viol=0,zero=0,total=1000"
-12,optimal,2,-2,OK,"pod=23.90,npac=57.88,reached=2/2,viol=0,zero=0,total=1000"
-12,optimal,2,-1,OK,"pod=23.53,npac=56.42,reached=2/2,viol=0,zero=0,total=1000"
-12,optimal,2,0,NO_PREVIEW,"already_clean"
-12,optimal,2,1,OK,"pod=21.07,npac=48.00,reached=2/2,viol=0,zero=0,total=1000"
-12,optimal,2,2,OK,"pod=19.86,npac=45.89,reached=1/2,viol=0,zero=0,total=1000"
-12,eco,-2,-2,NO_PREVIEW,"missing_prices"
-12,eco,-2,-1,NO_PREVIEW,"missing_prices"
-12,eco,-2,0,NO_PREVIEW,"missing_prices"
-12,eco,-2,1,NO_PREVIEW,"missing_prices"
-12,eco,-2,2,NO_PREVIEW,"missing_prices"
-12,eco,-1,-2,NO_PREVIEW,"missing_prices"
-12,eco,-1,-1,NO_PREVIEW,"missing_prices"
-12,eco,-1,0,NO_PREVIEW,"missing_prices"
-12,eco,-1,1,NO_PREVIEW,"missing_prices"
-12,eco,-1,2,NO_PREVIEW,"missing_prices"
-12,eco,0,-2,NO_PREVIEW,"missing_prices"
-12,eco,0,-1,NO_PREVIEW,"missing_prices"
-12,eco,0,0,NO_PREVIEW,"missing_prices"
-12,eco,0,1,NO_PREVIEW,"missing_prices"
-12,eco,0,2,NO_PREVIEW,"missing_prices"
-12,eco,1,-2,NO_PREVIEW,"missing_prices"
-12,eco,1,-1,NO_PREVIEW,"missing_prices"
-12,eco,1,0,NO_PREVIEW,"missing_prices"
-12,eco,1,1,NO_PREVIEW,"missing_prices"
-12,eco,1,2,NO_PREVIEW,"missing_prices"
-12,eco,2,-2,NO_PREVIEW,"missing_prices"
-12,eco,2,-1,NO_PREVIEW,"missing_prices"
-12,eco,2,0,NO_PREVIEW,"missing_prices"
-12,eco,2,1,NO_PREVIEW,"missing_prices"
-12,eco,2,2,NO_PREVIEW,"missing_prices"
-13,optimal,-2,-2,OK,"pod=20.14,npac=61.90,reached=0/2,viol=0,zero=0,total=1000"
-13,optimal,-2,-1,OK,"pod=19.37,npac=59.84,reached=0/2,viol=0,zero=0,total=1000"
-13,optimal,-2,0,NO_PREVIEW,"vegan_profile_constraint"
-13,optimal,-2,1,NO_PREVIEW,"vegan_profile_constraint"
-13,optimal,-2,2,NO_PREVIEW,"vegan_profile_constraint"
-13,optimal,-1,-2,OK,"pod=20.14,npac=61.90,reached=0/2,viol=0,zero=0,total=1000"
-13,optimal,-1,-1,OK,"pod=19.37,npac=59.84,reached=0/2,viol=0,zero=0,total=1000"
