recipe_id,flavour_class,temperature,mode,sweetness,hardness,direction_status,delivered_pod,delivered_npac,zero_gram,total_g,runtime_ms
R03,dark cocoa,-11,optimal,1,-2,NEAREST,22.59,39.42,0,1000,56
R03,dark cocoa,-11,optimal,1,-1,NEAREST,22.59,39.42,0,1000,70
R03,dark cocoa,-11,optimal,1,0,NEAREST,22.64,39.61,0,1000,92
R03,dark cocoa,-11,optimal,1,1,ACHIEVED,22.57,37.55,0,1000,2
R03,dark cocoa,-11,optimal,1,2,ACHIEVED,21.83,36.16,0,1000,2
R03,dark cocoa,-11,optimal,2,-2,NEAREST,24.41,41.94,0,1000,37
R03,dark cocoa,-11,optimal,2,-1,NEAREST,24.41,41.94,0,1000,26
R03,dark cocoa,-11,optimal,2,0,ACHIEVED,24.40,40.21,0,1000,0
R03,dark cocoa,-11,optimal,2,1,ACHIEVED,23.66,38.33,0,1000,2
R03,dark cocoa,-11,optimal,2,2,ACHIEVED,23.12,36.93,0,1000,2
R04,chocolate,-11,optimal,-2,-2,NEAREST,23.58,41.92,0,1000,118
R04,chocolate,-11,optimal,-2,-1,NEAREST,23.58,41.92,0,1000,227
R04,chocolate,-11,optimal,-2,0,NEAREST,22.55,40.01,0,1000,16
R04,chocolate,-11,optimal,-2,1,NEAREST,21.52,37.60,0,1000,42
R04,chocolate,-11,optimal,-2,2,ACHIEVED,15.09,37.25,0,1000,52
R04,chocolate,-11,optimal,-1,-2,NEAREST,17.73,30.02,0,1000,17
R04,chocolate,-11,optimal,-1,-1,NEAREST,17.73,30.02,0,1000,13
R04,chocolate,-11,optimal,-1,0,NEAREST,17.82,28.89,0,1000,20
R04,chocolate,-11,optimal,-1,1,NEAREST,17.82,28.96,0,1000,24
R04,chocolate,-11,optimal,-1,2,NEAREST,17.85,35.20,0,1000,4
R04,chocolate,-11,optimal,0,-2,NEAREST,20.12,34.49,0,1000,37
R04,chocolate,-11,optimal,0,-1,NEAREST,20.12,34.49,0,1000,32
R04,chocolate,-11,optimal,0,0,NEAREST,20.26,34.24,0,1000,41
R04,chocolate,-11,optimal,0,1,NEAREST,21.52,37.60,0,1000,37
R04,chocolate,-11,optimal,0,2,NEAREST,20.39,35.20,0,1000,72
R04,chocolate,-11,optimal,1,-2,NEAREST,22.60,40.11,0,1000,19
R04,chocolate,-11,optimal,1,-1,NEAREST,22.60,40.11,0,1000,40
R04,chocolate,-11,optimal,1,0,ACHIEVED,22.55,40.01,0,1000,2
R04,chocolate,-11,optimal,1,1,ACHIEVED,22.41,37.55,0,1000,1
R04,chocolate,-11,optimal,1,2,ACHIEVED,21.43,36.03,0,1000,0
R04,chocolate,-11,optimal,2,-2,NEAREST,24.30,41.92,0,1000,23
R04,chocolate,-11,optimal,2,-1,NEAREST,24.49,41.81,0,1000,26
R04,chocolate,-11,optimal,2,0,ACHIEVED,22.78,40.13,0,1000,5
R04,chocolate,-11,optimal,2,1,ACHIEVED,23.16,37.93,0,1000,1
R04,chocolate,-11,optimal,2,2,ACHIEVED,23.20,37.47,0,1000,1
R05,strawberry,-11,optimal,-2,-2,NEAREST,21.08,35.00,0,1000,25041
R05,strawberry,-11,optimal,-2,-1,NEAREST,21.08,35.00,0,1000,20161
R05,strawberry,-11,optimal,-2,0,ACHIEVED,15.17,40.04,0,1000,46
R05,strawberry,-11,optimal,-2,1,ACHIEVED,14.83,37.77,0,1000,32
R05,strawberry,-11,optimal,-2,2,ACHIEVED,15.18,35.02,0,1000,23
R05,strawberry,-11,optimal,-1,-2,NEAREST,21.08,35.00,0,1000,19556
R05,strawberry,-11,optimal,-1,-1,NEAREST,21.08,35.00,0,1000,39041
R05,strawberry,-11,optimal,-1,0,ACHIEVED,17.56,40.04,0,1000,43
R05,strawberry,-11,optimal,-1,1,ACHIEVED,17.28,38.02,0,1000,31
R05,strawberry,-11,optimal,-1,2,ACHIEVED,17.57,35.02,0,1000,30
R05,strawberry,-11,optimal,0,-2,NEAREST,21.08,35.00,0,1000,57670
R05,strawberry,-11,optimal,0,-1,NEAREST,21.08,35.00,0,1000,33265
R05,strawberry,-11,optimal,0,0,ACHIEVED,19.94,40.04,0,1000,96
R05,strawberry,-11,optimal,0,1,ACHIEVED,19.67,38.02,0,1000,28
R05,strawberry,-11,optimal,0,2,ACHIEVED,19.95,35.02,0,1000,14
R05,strawberry,-11,optimal,1,-2,NEAREST,21.08,35.00,0,1000,48233
R05,strawberry,-11,optimal,1,-1,NEAREST,21.08,35.00,0,1000,41613
R05,strawberry,-11,optimal,1,0,ACHIEVED,22.20,40.00,0,1000,38
R05,strawberry,-11,optimal,1,1,ACHIEVED,22.05,38.02,0,1000,43
R05,strawberry,-11,optimal,1,2,ACHIEVED,21.08,35.00,0,1000,20
R05,strawberry,-11,optimal,2,-2,NEAREST,21.08,35.00,0,1000,41075
