ingredient_id,display_name,category,subcategory,product_form,active,approved_for_base,approved_for_engines,technical_composition_complete,missing_technical_fields,pod_pac_inputs_complete,provenance_status,source_confidence,source_type,process_status,dosage_known,price_known,mapper_reference_product_id,product_version_id,current_binding_id,current_product_behavior_state,current_main_policy_status,current_binding_status,current_picker_status,searchable_before,searchable_after,selectable_before,selectable_after,base_addable_before,base_addable_after,pi_calculable_before,pi_calculable_after,current_block_reason,final_block_reason,correction_action
PI-ING-001117,FRUTTI DI BOSCO · Comprital Variegato · PF291P,flavor_paste,variegato_layering_paste,flavour_paste,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,95,Pinguino mapper screenshot CSV,COLD_PROCESS_OK,FALSE,FALSE,d14bb52a-7383-002d-9d0d-9175f988c384,94fde18a-3b1f-4a15-bc03-a710a0f93dd5,b4427b9c-f238-44e4-8afd-bb29812759e0,UNKNOWN_REQUIRES_EVIDENCE,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,PI_AT_0G:grams_required;ECO_COST:price_missing,"Add at 0 g, then enter at least 1 g from producer guidance or the user recipe;Technical PI allowed; add a valid private/reference price for complete ECO cost"
PI-ING-001118,LAMPONE · Comprital Variegato · PC789,flavor_paste,variegato_layering_paste,flavour_paste,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,95,Pinguino mapper screenshot CSV,COLD_PROCESS_OK,FALSE,FALSE,6352b6db-2e48-2220-5f0c-e3ca4cb9abce,04c647c8-19e4-4797-bbbd-5575b27824b4,42f63e00-0c0b-4d74-8020-0236619512a9,UNKNOWN_REQUIRES_EVIDENCE,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,PI_AT_0G:grams_required;ECO_COST:price_missing,"Add at 0 g, then enter at least 1 g from producer guidance or the user recipe;Technical PI allowed; add a valid private/reference price for complete ECO cost"
PI-ING-001119,LIMONE BISCOTTO · Comprital Variegato · PC815,flavor_paste,variegato_layering_paste,flavour_paste,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,95,Pinguino mapper screenshot CSV,COLD_PROCESS_OK,FALSE,FALSE,b42ba8fa-2b47-a82a-7b0f-126684db4c91,1c7f9c32-55e8-46e9-8e37-a7460f3052bf,523dced0-63ac-41ad-8b01-7f8d6ba423da,UNKNOWN_REQUIRES_EVIDENCE,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,PI_AT_0G:grams_required;ECO_COST:price_missing,"Add at 0 g, then enter at least 1 g from producer guidance or the user recipe;Technical PI allowed; add a valid private/reference price for complete ECO cost"
PI-ING-001120,MANGO PASSION YUZU · Comprital Variegato · PC788 / 20079939,flavor_paste,variegato_layering_paste,flavour_paste,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,95,Pinguino mapper screenshot CSV,COLD_PROCESS_OK,FALSE,FALSE,059efa2f-3d79-ba16-34ca-f49d7c81baa5,9c56b6dd-229a-401d-8329-94c0b3b58d0d,40af2280-57a0-4e7a-9c26-ede3313d0577,UNKNOWN_REQUIRES_EVIDENCE,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,PI_AT_0G:grams_required;ECO_COST:price_missing,"Add at 0 g, then enter at least 1 g from producer guidance or the user recipe;Technical PI allowed; add a valid private/reference price for complete ECO cost"
PI-ING-001121,MORA E MIRTILLO SELVATICI · Comprital Variegato,flavor_paste,variegato_layering_paste,flavour_paste,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,95,Pinguino mapper screenshot CSV,COLD_PROCESS_OK,FALSE,FALSE,e9b8d987-0fae-08ff-55fe-f25429ac5ba1,7612132e-50c7-47c0-aae3-c1f028c103b0,c65f7026-91e5-4c14-b425-dbade02df5ee,UNKNOWN_REQUIRES_EVIDENCE,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,PI_AT_0G:grams_required;ECO_COST:price_missing,"Add at 0 g, then enter at least 1 g from producer guidance or the user recipe;Technical PI allowed; add a valid private/reference price for complete ECO cost"
PI-ING-001122,PASSION · Comprital Variegato · PF292P,flavor_paste,variegato_layering_paste,flavour_paste,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,95,Pinguino mapper screenshot CSV,COLD_PROCESS_OK,FALSE,FALSE,b7118973-a7a6-47ac-6fa8-a043182a12a8,e2dade30-3315-42d5-82b3-932e9f8f78b0,8f02abd7-f30f-4cc4-821e-8c5d551c7a05,UNKNOWN_REQUIRES_EVIDENCE,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,PI_AT_0G:grams_required;ECO_COST:price_missing,"Add at 0 g, then enter at least 1 g from producer guidance or the user recipe;Technical PI allowed; add a valid private/reference price for complete ECO cost"
PI-ING-001123,SPALMARELLA · Comprital Variegato · PF906D,chocolate,chocolate_paste,paste,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,95,Pinguino mapper screenshot CSV,COLD_PROCESS_OK,FALSE,FALSE,37230af1-8390-add0-8b53-6aa029fa06ba,f4157efd-af68-4f44-9347-b2fb2b01990a,25be1c1e-7c5f-411f-8789-4e4b94fd5b5c,MAIN_ALLOWED,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,PI_AT_0G:grams_required;ECO_COST:price_missing,"Add at 0 g, then enter at least 1 g from producer guidance or the user recipe;Technical PI allowed; add a valid private/reference price for complete ECO cost"
PI-ING-001124,SPECULOOS · Comprital Variegato · PC816,flavor_paste,variegato_layering_paste,flavour_paste,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,95,Pinguino mapper screenshot CSV,COLD_PROCESS_OK,FALSE,FALSE,55652778-823e-39a2-75f9-67fb92d1f954,76103486-56c6-41a4-b197-0d78d9ecc7ec,54d334d6-20d6-40d7-b1a4-f880354332c7,UNKNOWN_REQUIRES_EVIDENCE,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,PI_AT_0G:grams_required;ECO_COST:price_missing,"Add at 0 g, then enter at least 1 g from producer guidance or the user recipe;Technical PI allowed; add a valid private/reference price for complete ECO cost"
PI-ING-001125,TOFFEE MOU · Comprital Variegato · PC528P,flavor_paste,variegato_layering_paste,flavour_paste,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,95,Pinguino mapper screenshot batch,COLD_PROCESS_OK,FALSE,FALSE,6d2ca027-9b24-82d5-42f5-b1d830940832,602c9417-f60d-488d-af9b-16a7dc0d1a0b,b9c9d73a-ef9d-4f1a-ad95-6ec4e136e4bb,UNKNOWN_REQUIRES_EVIDENCE,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,PI_AT_0G:grams_required;ECO_COST:price_missing,"Add at 0 g, then enter at least 1 g from producer guidance or the user recipe;Technical PI allowed; add a valid private/reference price for complete ECO cost"
PI-ING-001127,YOPIU · Comprital Base Mix · P400,base_mix,yogurt_powdered_ice_cream_mix,powder,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,95,Pinguino mapper screenshot batch,UNKNOWN,FALSE,FALSE,bc102c9c-9b05-0829-c280-576a2e1549c1,4c3d7623-902c-4360-be2e-fb4474cc7912,da003857-ff9a-426b-bdfc-7f722b32b9e2,STANDARD_ONLY,NOT_APPLICABLE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,PROCESS_PRODUCTION:process_status=UNKNOWN;PI_AT_0G:grams_required;ECO_COST:price_missing,"Technical PI allowed; add exact process evidence before automatic Process/Production guidance;Add at 0 g, then enter at least 1 g from producer guidance or the user recipe;Technical PI allowed; add a valid private/reference price for complete ECO cost"
PI-ING-001128,ZABAIONE ZIBIBBO · Comprital Specialty · PC638PB,specialty,sweetened_egg_yolk,UNRESOLVED,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,95,Pinguino mapper screenshot batch,UNKNOWN,FALSE,FALSE,93b48dac-9989-13af-5307-b3e1253c5e09,679e8bea-9a7c-48ec-b1b7-e70416a03135,26ab9862-8bce-4e4d-8f0f-1d8ecdea71b2,STANDARD_ONLY,NOT_APPLICABLE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,PROCESS_PRODUCTION:process_status=UNKNOWN;PI_AT_0G:grams_required;ECO_COST:price_missing,"Technical PI allowed; add exact process evidence before automatic Process/Production guidance;Add at 0 g, then enter at least 1 g from producer guidance or the user recipe;Technical PI allowed; add a valid private/reference price for complete ECO cost"
PI-ING-001129,AMARENA · Fabbri Paste · 0005836,flavor_paste,flavored_ice_cream_paste,flavour_paste,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,95,Pinguino mapper screenshot batch,UNKNOWN,FALSE,FALSE,90dcc8c5-231c-a167-a6b9-395741c9b518,8c7bf099-e2b6-448c-a1bd-256b078be3cf,3b665396-6836-4578-af27-e515773d1ea9,UNKNOWN_REQUIRES_EVIDENCE,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,PROCESS_PRODUCTION:process_status=UNKNOWN;PI_AT_0G:grams_required;ECO_COST:price_missing,"Technical PI allowed; add exact process evidence before automatic Process/Production guidance;Add at 0 g, then enter at least 1 g from producer guidance or the user recipe;Technical PI allowed; add a valid private/reference price for complete ECO cost"
PI-ING-001130,AMARENA · Fabbri Paste · 0004280,flavor_paste,flavored_ice_cream_paste,flavour_paste,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,95,Pinguino mapper screenshot batch,UNKNOWN,FALSE,FALSE,a21bc337-be5d-09d1-bf9c-4533dbea7a75,74b99f4a-dad8-4827-867f-49ea1e1ad4d8,c515f684-c3dd-421c-b313-9d9359dc3834,UNKNOWN_REQUIRES_EVIDENCE,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,PROCESS_PRODUCTION:process_status=UNKNOWN;PI_AT_0G:grams_required;ECO_COST:price_missing,"Technical PI allowed; add exact process evidence before automatic Process/Production guidance;Add at 0 g, then enter at least 1 g from producer guidance or the user recipe;Technical PI allowed; add a valid private/reference price for complete ECO cost"
