recipe_id,flavour_class,temperature,mode,outcome,pod,npac,water_pct,solids_pct,fat_pct,violations,zero_gram,total_g,runtime_ms
R09,mango / tropical,-13,eco,PREVIEW,24.35,50.13,67.00,33.00,0.54,0,0,1000,113
R10,lemon / citrus,-11,optimal,PREVIEW,21.19,39.60,67.99,32.01,4.83,0,0,1000,1
R10,lemon / citrus,-11,eco,PREVIEW,21.19,39.60,67.99,32.01,4.83,0,0,1000,1
R10,lemon / citrus,-12,optimal,PREVIEW,22.46,50.50,64.95,35.05,5.47,0,0,1000,2
R10,lemon / citrus,-12,eco,PREVIEW,20.17,43.27,68.27,31.73,4.83,1,0,1000,4
R10,lemon / citrus,-13,optimal,PREVIEW,21.06,55.70,65.34,34.66,5.47,0,0,1000,4
R10,lemon / citrus,-13,eco,PREVIEW,18.92,47.75,68.62,31.38,4.83,2,0,1000,3
R11,coffee,-11,optimal,PREVIEW,21.61,41.33,66.32,33.68,5.36,0,0,1000,12
R11,coffee,-11,eco,PREVIEW,21.61,41.33,66.32,33.68,5.36,0,0,1000,2
R11,coffee,-12,optimal,PREVIEW,22.69,52.33,63.43,36.57,5.94,0,0,1000,1
R11,coffee,-12,eco,PREVIEW,22.69,52.33,63.43,36.57,5.94,0,0,1000,0
R11,coffee,-13,optimal,PREVIEW,21.24,57.86,63.83,36.17,5.94,0,0,1000,1
R11,coffee,-13,eco,PREVIEW,21.24,57.86,63.83,36.17,5.94,0,0,1000,0
R12,caramel,-11,optimal,PREVIEW,21.48,41.81,67.78,32.22,6.21,0,0,1000,4
R12,caramel,-11,eco,PREVIEW,17.24,38.52,64.66,35.34,11.85,0,0,1000,10
R12,caramel,-12,optimal,PREVIEW,22.84,45.80,65.88,34.12,6.63,0,0,1000,1
R12,caramel,-12,eco,PREVIEW,22.84,45.80,65.88,34.12,6.63,0,0,1000,2
R12,caramel,-13,optimal,PREVIEW,24.90,52.08,63.07,36.93,7.17,0,0,1000,5
R12,caramel,-13,eco,PREVIEW,27.89,62.51,58.96,41.04,8.08,1,0,1000,6
R13,salted caramel,-11,optimal,PREVIEW,21.17,41.81,69.85,30.15,4.37,0,0,1000,3
R13,salted caramel,-11,eco,PREVIEW,15.17,35.86,68.75,31.25,9.93,0,0,1000,8
R13,salted caramel,-12,optimal,PREVIEW,22.46,44.69,69.17,30.83,3.61,0,0,1000,1
R13,salted caramel,-12,eco,PREVIEW,22.46,44.69,69.17,30.83,3.61,0,0,1000,0
R13,salted caramel,-13,optimal,PREVIEW,24.86,51.83,66.11,33.89,4.03,0,0,1000,1
R13,salted caramel,-13,eco,PREVIEW,24.86,51.83,66.11,33.89,4.03,0,0,1000,1
R14,pistachio,-11,optimal,PREVIEW,23.33,40.64,57.41,42.59,12.00,0,0,1000,13
R14,pistachio,-11,eco,PREVIEW,23.33,40.64,57.41,42.59,12.00,0,0,1000,12
R14,pistachio,-12,optimal,PREVIEW,23.25,44.38,57.07,42.93,12.00,0,0,1000,42
R14,pistachio,-12,eco,PREVIEW,23.25,44.38,57.07,42.93,12.00,0,0,1000,21
R14,pistachio,-13,optimal,PREVIEW,22.41,50.01,57.08,42.92,12.00,0,0,1000,15
R14,pistachio,-13,eco,PREVIEW,22.41,50.01,57.08,42.92,12.00,0,0,1000,25
R15,hazelnut,-11,optimal,PREVIEW,24.12,41.86,57.84,42.16,11.93,0,0,1000,15
R15,hazelnut,-11,eco,PREVIEW,20.86,35.03,61.07,38.93,11.95,0,0,1000,68
R15,hazelnut,-12,optimal,PREVIEW,24.98,44.13,57.05,42.95,11.93,0,0,1000,47
R15,hazelnut,-12,eco,PREVIEW,24.98,44.13,57.05,42.95,11.93,0,0,1000,84
R15,hazelnut,-13,optimal,PREVIEW,24.82,50.07,57.10,42.90,12.00,0,0,1000,35
R15,hazelnut,-13,eco,PREVIEW,24.82,50.07,57.10,42.90,12.00,0,0,1000,33
R16,peanut,-11,optimal,PREVIEW,22.15,41.31,57.62,42.38,12.00,0,0,1000,9
R16,peanut,-11,eco,PREVIEW,17.35,36.10,64.08,35.92,8.32,0,0,1000,41
R16,peanut,-12,optimal,PREVIEW,22.51,44.08,57.17,42.83,11.99,0,0,1000,17
R16,peanut,-12,eco,PREVIEW,22.51,44.08,57.17,42.83,11.99,0,0,1000,14
R16,peanut,-13,optimal,PREVIEW,21.69,50.06,57.02,42.98,12.00,0,0,1000,5
R16,peanut,-13,eco,PREVIEW,21.69,50.06,57.02,42.98,12.00,0,0,1000,9
R17,almond,-11,optimal,PREVIEW,18.51,41.76,59.89,40.11,12.00,0,0,1000,47
R17,almond,-11,eco,PREVIEW,18.58,41.80,59.93,40.07,11.94,0,0,1000,40
R17,almond,-12,optimal,PREVIEW,21.01,47.93,57.39,42.61,12.00,0,0,1000,155
R17,almond,-12,eco,PREVIEW,21.01,47.93,57.39,42.61,12.00,0,0,1000,306
R17,almond,-13,optimal,PREVIEW,21.13,50.11,57.00,43.00,11.99,0,0,1000,20
R17,almond,-13,eco,PREVIEW,21.13,50.11,57.00,43.00,11.99,0,0,1000,15
R18,hard fat class,-11,optimal,PREVIEW,18.28,36.81,61.04,38.96,10.77,0,0,1000,1
R18,hard fat class,-11,eco,PREVIEW,18.28,36.81,61.04,38.96,10.77,0,0,1000,0
R18,hard fat class,-12,optimal,PREVIEW,23.21,52.84,63.94,36.06,6.75,0,0,1000,1
R18,hard fat class,-12,eco,PREVIEW,23.21,52.84,63.94,36.06,6.75,0,0,1000,0
R18,hard fat class,-13,optimal,PREVIEW,18.20,51.23,57.76,42.24,11.96,0,0,1000,2
R18,hard fat class,-13,eco,PREVIEW,19.29,51.41,63.70,36.30,8.19,0,0,1000,4
R19,high fat,-11,optimal,PREVIEW,21.71,41.21,66.69,33.31,6.80,0,0,1000,1
R19,high fat,-11,eco,PREVIEW,21.71,41.21,66.69,33.31,6.80,0,0,1000,0
R19,high fat,-12,optimal,PREVIEW,22.86,52.52,63.67,36.33,7.63,0,0,1000,1
R19,high fat,-12,eco,PREVIEW,22.86,52.52,63.67,36.33,7.63,0,0,1000,0
R19,high fat,-13,optimal,PREVIEW,21.41,58.03,64.07,35.93,7.63,0,0,1000,0
R19,high fat,-13,eco,PREVIEW,21.41,58.03,64.07,35.93,7.63,0,0,1000,1
R20,low fat,-11,optimal,PREVIEW,21.82,41.01,67.21,32.79,4.90,0,0,1000,0
R20,low fat,-11,eco,PREVIEW,21.82,41.01,67.21,32.79,4.90,0,0,1000,1
R20,low fat,-12,optimal,PREVIEW,23.35,53.40,63.87,36.13,5.53,0,0,1000,0
R20,low fat,-12,eco,PREVIEW,23.35,53.40,63.87,36.13,5.53,0,0,1000,0
R20,low fat,-13,optimal,PREVIEW,21.89,58.88,64.27,35.73,5.53,0,0,1000,1
R20,low fat,-13,eco,PREVIEW,21.89,58.88,64.27,35.73,5.53,0,0,1000,0
R21,plant protein (pea),-11,optimal,PREVIEW,20.71,40.60,66.92,33.08,5.06,0,0,1000,0
R21,plant protein (pea),-11,eco,PREVIEW,20.71,40.60,66.92,33.08,5.06,0,0,1000,1
R21,plant protein (pea),-12,optimal,PREVIEW,22.56,54.08,62.95,37.05,5.84,0,0,1000,0
R21,plant protein (pea),-12,eco,PREVIEW,22.56,54.08,62.95,37.05,5.84,0,0,1000,0
R21,plant protein (pea),-13,optimal,PREVIEW,21.13,59.53,63.34,36.66,5.84,0,0,1000,1
R21,plant protein (pea),-13,eco,PREVIEW,21.13,59.53,63.34,36.66,5.84,0,0,1000,0
R22,plant protein (rice),-11,optimal,PREVIEW,20.12,40.40,62.97,37.03,8.74,0,0,1000,0
R22,plant protein (rice),-11,eco,PREVIEW,20.12,40.40,62.97,37.03,8.74,0,0,1000,1
R22,plant protein (rice),-12,optimal,PREVIEW,21.55,53.30,59.03,40.97,9.79,0,0,1000,0
R22,plant protein (rice),-12,eco,PREVIEW,21.55,53.30,59.03,40.97,9.79,0,0,1000,1
