n,seed,recipe_id,temperature,mode,sweetness,hardness,outcome,defect_class
447,95786240,R01,-13,optimal,2,-1,PREVIEW,ok
448,1599011584,R24,-13,optimal,-1,2,PREVIEW,ok
449,790404608,R14,-11,optimal,-2,1,PREVIEW,ok
450,1598308736,R24,-12,optimal,0,-1,PREVIEW,ok
451,1483422336,R01,-11,eco,2,-2,PREVIEW,ok
452,897007872,R04,-11,optimal,-2,0,PREVIEW,ok
453,793695552,R18,-13,eco,2,-1,PREVIEW,ok
454,107241216,R17,-11,eco,0,-1,PREVIEW,ok
455,2109718080,R14,-12,optimal,-1,2,PREVIEW,ok
456,1676280128,R18,-12,eco,-2,0,PREVIEW,ok
457,40306176,R03,-12,optimal,-2,-2,PREVIEW,ok
458,212105024,R03,-12,optimal,-1,2,PREVIEW,ok
459,762938432,R23,-12,eco,0,0,PREVIEW,ok
460,795141632,R21,-12,eco,-2,1,PREVIEW,ok
461,1027252480,R16,-13,optimal,1,0,PREVIEW,ok
462,239056192,R22,-13,optimal,-1,0,PREVIEW,ok
463,1620818496,R20,-13,eco,1,0,PREVIEW,ok
464,1031730176,R19,-13,optimal,-1,-1,PREVIEW,ok
465,1278254848,R05,-12,eco,0,0,PREVIEW,ok
466,812100352,R12,-12,eco,-1,0,PREVIEW,ok
467,1243653120,R22,-11,optimal,1,1,PREVIEW,ok
468,1557859072,R17,-11,optimal,-2,1,PREVIEW,ok
469,1867816888,R14,-13,optimal,-1,-1,PREVIEW,ok
470,1031384064,R22,-11,optimal,0,0,PREVIEW,ok
471,711791616,R14,-13,eco,0,-2,PREVIEW,ok
472,1364035328,R13,-13,optimal,-1,0,PREVIEW,ok
473,10903552,R08,-11,optimal,0,-2,PREVIEW,ok
474,770373120,R11,-12,optimal,-2,1,PREVIEW,ok
475,528741440,R20,-11,eco,-2,2,PREVIEW,ok
476,654749184,R14,-11,eco,1,-1,PREVIEW,ok
477,1778815232,R12,-12,optimal,0,-2,PREVIEW,ok
478,1024156928,R15,-13,eco,2,0,PREVIEW,ok
479,1856295744,R04,-13,eco,-2,-1,PREVIEW,ok
480,600273408,R23,-13,eco,-1,0,PREVIEW,ok
481,1921735936,R09,-13,optimal,0,0,PREVIEW,ok
482,835150080,R08,-13,eco,-1,2,PREVIEW,ok
483,926905600,R23,-13,optimal,0,2,PREVIEW,ok
484,2119659264,R17,-11,eco,-2,0,PREVIEW,ok
485,1748687680,R14,-11,optimal,-2,-2,PREVIEW,ok
486,1347262976,R07,-11,eco,1,2,PREVIEW,ok
487,559518272,R22,-12,optimal,-1,0,PREVIEW,ok
488,1178348864,R18,-13,eco,0,1,PREVIEW,ok
489,233452544,R24,-13,eco,0,1,PREVIEW,ok
490,1714124032,R01,-11,eco,-1,0,PREVIEW,ok
491,1162048512,R12,-12,eco,1,-1,PREVIEW,ok
492,362350080,R13,-11,eco,2,-1,PREVIEW,ok
493,1520082176,R23,-13,eco,-1,1,PREVIEW,ok
494,1384508416,R06,-12,eco,1,0,PREVIEW,ok
495,1607581496,R23,-13,optimal,-1,-1,PREVIEW,ok
496,2114270208,R16,-13,optimal,0,-1,PREVIEW,ok
497,1860015104,R23,-13,eco,2,-1,PREVIEW,ok
498,479435264,R09,-11,optimal,2,1,PREVIEW,ok
499,1101797376,R12,-11,optimal,1,0,PREVIEW,ok
500,726023552,R23,-12,optimal,-2,-1,PREVIEW,ok
501,294385664,R19,-11,eco,-1,-1,PREVIEW,ok
502,617568000,R21,-13,optimal,-1,1,PREVIEW,ok
503,309123328,R07,-11,eco,-2,2,PREVIEW,ok
504,1580841728,R17,-13,eco,-2,1,PREVIEW,ok
505,1654661632,R17,-13,eco,-2,-2,PREVIEW,ok
506,1149835264,R04,-13,optimal,0,0,PREVIEW,ok
507,44609536,R01,-13,eco,0,2,PREVIEW,ok
508,29020160,R08,-11,optimal,-1,0,PREVIEW,ok
509,251450880,R02,-12,optimal,2,2,PREVIEW,ok
510,395397240,R21,-12,optimal,-1,-1,PREVIEW,ok
511,658739456,R16,-12,eco,-2,0,PREVIEW,ok
512,429755648,R22,-12,eco,0,-2,PREVIEW,ok
513,1346294528,R23,-11,optimal,1,1,PREVIEW,ok
514,384390720,R01,-13,eco,-2,2,PREVIEW,ok
515,23534656,R15,-13,eco,2,0,PREVIEW,ok
516,2013498496,R06,-11,optimal,-1,-2,PREVIEW,ok
517,235628864,R17,-11,eco,2,-1,PREVIEW,ok
518,547041024,R06,-13,eco,-2,0,PREVIEW,ok
519,279402752,R01,-11,optimal,0,1,PREVIEW,ok
