n,seed,recipe_id,temperature,mode,sweetness,hardness,outcome,defect_class
102,1104154624,R06,-11,eco,-1,2,PREVIEW,ok
103,321380352,R14,-13,eco,0,0,PREVIEW,ok
104,1351964736,R03,-12,eco,1,-1,PREVIEW,ok
105,295242560,R16,-13,eco,-1,2,PREVIEW,ok
106,1738206520,R04,-11,optimal,1,0,PREVIEW,ok
107,996341440,R01,-12,eco,-2,-2,PREVIEW,ok
108,2002709248,R02,-11,eco,2,1,PREVIEW,ok
109,54447872,R01,-13,eco,-1,2,PREVIEW,ok
110,1835906624,R06,-12,optimal,2,-1,PREVIEW,ok
111,1969217536,R12,-13,eco,-2,0,PREVIEW,ok
112,1164374016,R22,-12,eco,1,0,PREVIEW,ok
113,1449954048,R02,-13,eco,0,1,PREVIEW,ok
114,958335328,R19,-13,eco,-2,-2,PREVIEW,ok
115,814446848,R20,-12,eco,2,-2,PREVIEW,ok
116,1587209728,R13,-11,optimal,2,-1,PREVIEW,ok
117,726180096,R18,-12,optimal,0,-1,PREVIEW,ok
118,1925729280,R04,-11,optimal,2,2,PREVIEW,ok
119,447875584,R09,-13,optimal,-2,1,PREVIEW,ok
120,158660864,R17,-11,eco,2,2,PREVIEW,ok
121,621513216,R13,-13,optimal,0,-2,PREVIEW,ok
122,1955695872,R02,-11,optimal,1,0,PREVIEW,ok
123,338205760,R02,-12,eco,0,1,PREVIEW,ok
124,1169567296,R03,-12,optimal,-1,2,PREVIEW,ok
125,1319057720,R11,-12,optimal,0,-1,PREVIEW,ok
126,1656770560,R23,-11,optimal,2,-2,PREVIEW,ok
127,1194059776,R01,-13,optimal,-2,2,PREVIEW,ok
128,1439385088,R06,-11,eco,0,1,PREVIEW,ok
129,1876415488,R06,-13,optimal,-1,-2,PREVIEW,ok
130,1946897408,R17,-11,eco,-1,1,PREVIEW,ok
131,542615296,R07,-12,optimal,1,-2,PREVIEW,ok
132,616747776,R07,-13,eco,0,1,PREVIEW,ok
133,371109888,R10,-13,eco,0,0,PREVIEW,ok
