pi_ing,in_final_2541,v7_exact_mapper_name,final_2541_display_name,name_changed
PI-ING-000180,YES,CREAM 30% · Mlekovita Cream · Chilled,CREAM 30% · Mlekovita Cream · Chilled,NO
PI-ING-000236,YES,MILK 3.5% · Milk · Chilled,MILK · 3.5% FAT · Chilled,YES
PI-ING-000270,YES,SKIMMED MILK · Milk,SKIMMED MILK POWDER · 0.8% FAT · Dairy · Dry,YES
PI-ING-000492,YES,TARA GUM · Stabilizer,TARA GUM · Stabilizer,NO
PI-ING-000494,YES,DEXTROSE MONOHYDRATE · Sweetener · Dry,DEXTROSE MONOHYDRATE · Sweetener · Dry,NO
PI-ING-000514,YES,SUCROSE SUGAR · Sweetener · Dry,SUCROSE SUGAR · Sweetener · Dry,NO
