market,role,owner_status,grams_owner,pi_ing,pi_name_2541,s1_pi,pr_ing,s2_pr,brand,product,pack,ean,s3_identifier,s4_market,s5_source,s6_technical,s7_role_vs_2541,verdict,issues,checks_required,s9_action,vs_baseline
KW,STABILIZER,MISSING / REVIEW_REQUIRED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Modernist Pantry Pure Tara Gum Powder,,819543011967,GTIN-12 (UPC-A),NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
LT,STABILIZER,TARA_LOCAL_CONFIRMED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Tara guma,,,NONE,NOT_RUN,1 URL(s),base=TRUE engines=TRUE status=Verified,OK,CHECKS_REQUIRED,,IDENTITY_WITHOUT_GTIN: prove by a first-party own-brand listing (D-37); never invent an EAN,VERIFY_OWN_BRAND_IDENTITY (D-37),SAME_PRODUCT
LU,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,4 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
LV,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,4 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
MY,STABILIZER,TARA_LOCAL_CONFIRMED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Tara Gum Powder / Serbuk Gam Tara,,,NONE,NOT_RUN,1 URL(s),base=TRUE engines=TRUE status=Verified,OK,CHECKS_REQUIRED,,IDENTITY_WITHOUT_GTIN: prove by a first-party own-brand listing (D-37); never invent an EAN,VERIFY_OWN_BRAND_IDENTITY (D-37),SAME_PRODUCT
MT,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,4 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
MA,STABILIZER,MISSING / REVIEW_REQUIRED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,E417 - Gomme de Tara / Tara Gum,,,NONE,NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Verified,OK,CHECKS_REQUIRED,,IDENTITY_WITHOUT_GTIN: prove by a first-party own-brand listing (D-37); never invent an EAN,VERIFY_OWN_BRAND_IDENTITY (D-37),SAME_PRODUCT
MX,STABILIZER,MISSING / REVIEW_REQUIRED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Goma Tara — oferta spożywcza B2B,,,NONE,NOT_RUN,2 URL(s),base=TRUE engines=TRUE status=Verified,OK,CHECKS_REQUIRED,,IDENTITY_WITHOUT_GTIN: prove by a first-party own-brand listing (D-37); never invent an EAN,VERIFY_OWN_BRAND_IDENTITY (D-37),SAME_PRODUCT
NG,STABILIZER,MISSING / REVIEW_REQUIRED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Cape Crystal Brands Tara Gum Powder,,711221973058,GTIN-12 (UPC-A),NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
OM,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Modernist Pantry Pure Tara Gum Powder,,819543011967,GTIN-12 (UPC-A),NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
PK,STABILIZER,MISSING / REVIEW_REQUIRED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Tara Gum [E417] 100% USP Food Grade Powder,,,NONE,NOT_RUN,2 URL(s),base=TRUE engines=TRUE status=Verified,OK,CHECKS_REQUIRED,,IDENTITY_WITHOUT_GTIN: prove by a first-party own-brand listing (D-37); never invent an EAN,VERIFY_OWN_BRAND_IDENTITY (D-37),SAME_PRODUCT
PA,STABILIZER,MISSING / REVIEW_REQUIRED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Tara Gum — Home 50g,,819543011967,GTIN-12 (UPC-A),NOT_RUN,6 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
ZA,STABILIZER,MISSING / REVIEW_REQUIRED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,UNIPEKTIN VIDOGUM SP native tara gum E417,,,NONE,NOT_RUN,4 URL(s),base=TRUE engines=TRUE status=Verified,OK,CHECKS_REQUIRED,,IDENTITY_WITHOUT_GTIN: prove by a first-party own-brand listing (D-37); never invent an EAN,VERIFY_OWN_BRAND_IDENTITY (D-37),SAME_PRODUCT
RO,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,7 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
SG,STABILIZER,TARA_LOCAL_CONFIRMED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Tara Gum (塔拉胶) - 50g,,,NONE,NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Verified,OK,CHECKS_REQUIRED,,IDENTITY_WITHOUT_GTIN: prove by a first-party own-brand listing (D-37); never invent an EAN,VERIFY_OWN_BRAND_IDENTITY (D-37),SAME_PRODUCT
SK,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Guma Tara Valknut / Tara guma Valknut,,,NONE,NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Verified,OK,CHECKS_REQUIRED,,IDENTITY_WITHOUT_GTIN: prove by a first-party own-brand listing (D-37); never invent an EAN,VERIFY_OWN_BRAND_IDENTITY (D-37),SAME_PRODUCT
SI,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,6 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
HK,STABILIZER,TARA_LOCAL_CONFIRMED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Tara Gum 50gr. / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,6 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
LK,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Organic Tara Gum Powder,,653981866129,GTIN-12 (UPC-A),NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
TH,STABILIZER,TARA_LOCAL_CONFIRMED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Tara Gum (China) 25g. A M,,2033200071103,RCN_STORE_INTERNAL (not globally unique),NOT_RUN,4 URL(s),base=TRUE engines=TRUE status=Verified,OK,ISSUES,EAN:RCN_STORE_INTERNAL (not globally unique),,"REPORT_BACK_TO_OWNER (no substitution, D-26)",SAME_PRODUCT
TW,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Tara Gum 50gr. / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,6 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
TN,STABILIZER,MISSING / REVIEW_REQUIRED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Cape Crystal Brands Tara Gum Powder,,711221973058,GTIN-12 (UPC-A),NOT_RUN,2 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
TR,STABILIZER,TARA_LOCAL_CONFIRMED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Benosen Tara Gum (E417) 200 g,,0795258101998,GTIN-13 (EAN-13),NOT_RUN,2 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
UY,STABILIZER,MISSING / REVIEW_REQUIRED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Goma de Tara — oferta spożywcza B2B,,,NONE,NOT_RUN,2 URL(s),base=TRUE engines=TRUE status=Verified,OK,CHECKS_REQUIRED,,IDENTITY_WITHOUT_GTIN: prove by a first-party own-brand listing (D-37); never invent an EAN,VERIFY_OWN_BRAND_IDENTITY (D-37),SAME_PRODUCT
HU,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,4 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
VN,STABILIZER,MISSING / REVIEW_REQUIRED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Tara Gum — food-use bulk raw material,,,NONE,NOT_RUN,2 URL(s),base=TRUE engines=TRUE status=Verified,OK,CHECKS_REQUIRED,,IDENTITY_WITHOUT_GTIN: prove by a first-party own-brand listing (D-37); never invent an EAN,VERIFY_OWN_BRAND_IDENTITY (D-37),SAME_PRODUCT
AE,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Modernist Pantry Pure Tara Gum Powder,,819543011967,GTIN-12 (UPC-A),NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
