iso2,tier,MILK,CREAM,SMP,DEXTROSE,TARA,confirmed_pr_roles,rule_version
PH,SUPPORTED,LEAD,LEAD,LEAD,BRAK,LEAD,0,D-29..D-31
PK,SUPPORTED,LEAD,CONFIRMED,LEAD,BRAK,BRAK,1,D-29..D-31
PL,CORE,CONFIRMED,CONFIRMED,CONFIRMED,BRAK,BRAK,3,D-29..D-31
PT,CORE,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,LEAD,4,D-29..D-31
QA,SUPPORTED,LEAD,LEAD,CONFIRMED,BRAK,LEAD,1,D-29..D-31
RO,SUPPORTED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,LEAD,4,D-29..D-31
SA,SUPPORTED,LEAD,LEAD,LEAD,BRAK,LEAD,0,D-29..D-31
SE,CORE,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,LEAD,4,D-29..D-31
SG,SUPPORTED,LEAD,LEAD,CONFIRMED,BRAK,BRAK,1,D-29..D-31
SI,SUPPORTED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,LEAD,4,D-29..D-31
SK,SUPPORTED,CONFIRMED,CONFIRMED,BRAK,CONFIRMED,BRAK,3,D-29..D-31
TH,SUPPORTED,CONFIRMED,LEAD,LEAD,LEAD,LEAD,1,D-29..D-31
TN,SUPPORTED,LEAD,LEAD,LEAD,BRAK,LEAD,0,D-29..D-31
TR,SUPPORTED,LEAD,LEAD,LEAD,BRAK,LEAD,0,D-29..D-31
TW,SUPPORTED,CONFIRMED,LEAD,LEAD,BRAK,LEAD,1,D-29..D-31
US,CORE,LEAD,LEAD,LEAD,LEAD,LEAD,0,D-29..D-31
UY,SUPPORTED,CONFIRMED,LEAD,CONFIRMED,BRAK,BRAK,2,D-29..D-31
VN,SUPPORTED,LEAD,LEAD,BRAK,BRAK,BRAK,0,D-29..D-31
ZA,SUPPORTED,CONFIRMED,CONFIRMED,BRAK,CONFIRMED,BRAK,3,D-29..D-31
