iso2,role,ean,product_name,brand,pack,url,page_market,market_by,evidence_method,checked_utc,previous_a04_class
NO,CREAM,7038010041914,TINE Kremfløte 37 % 3 dl,TINE SA,3 dl (300 ml),https://produkter.matinfo.no/TINE-SA/Kremfl%C3%B8te-3-dl/07038010041914,NO,CCTLD,RAW_HTML,2026-09-10T18:04:23Z,LEAD
NO,MILK,7038010000065,"TINE Helmelk 3,5 % fett 1 liter",TINE SA,1 L,"https://produkter.matinfo.no/TINE-SA/Tinemelk-helmelk-3,5-pr-fett-1-liter/07038010000065",NO,CCTLD,RAW_HTML,2026-09-10T17:55:52Z,LEAD
AU,SMP,9300639999005,Devondale Instant Skim Milk Powder,Devondale (Saputo),1 kg,https://simplevitamins.com.au/product/devondale-skim-milk-powder-1kg/,AU,CCTLD,RAW_HTML,2026-09-10T18:14:10Z,LEAD
